sbuid,testDateUtc,leftAvgForce,leftImpulse,leftMaxForce,leftTorque,rightAvgForce,rightImpulse,rightMaxForce,rightTorque,ForceSymmetry,ImpulseSymmetry,MaxForceSymmetry,TorqueSymmetry
14568521.0,2025-01-08,483.375,5730.710000000001,494.75,211.505625,541.25,5814.260000000004,560.5,239.61375,0.8930715935334873,0.985630157578092,0.8826940231935771,0.8826940231935771
112900560.0,2025-01-22,588.625,2786.569999999999,607.0,275.8815,481.875,2289.3600000000006,494.5,224.75025,1.2215304798962388,1.2171829681657746,1.2275025278058644,1.2275025278058649
113328523.0,2025-01-08,442.625,3319.400000000001,451.5,209.27025,379.5,2921.004999999999,387.5,179.60625000000002,1.1663372859025032,1.1363897014897275,1.1651612903225808,1.1651612903225803
113328523.0,2025-01-22,592.875,5623.18,614.25,284.704875,504.5,5573.355000000003,519.5,240.78825,1.1751734390485629,1.008939857590266,1.1823869104908566,1.1823869104908566
114215402.0,2025-01-22,540.375,4927.610000000002,563.5,261.18225,599.5,5116.780000000001,602.25,279.142875,0.9013761467889908,0.963029483386036,0.9356579493565796,0.9356579493565796
114737056.0,2025-01-22,468.75,2890.840000000001,485.75,203.286375,484.125,3314.2050000000027,492.25,206.006625,0.9682416731216112,0.8722574493732279,0.9867953275774504,0.9867953275774504
114755618.0,2025-01-22,494.125,4411.009999999999,510.5,236.61675,458.0,3922.8600000000033,468.25,217.033875,1.0788755458515285,1.124437272806064,1.0902295782167646,1.0902295782167646
115197404.0,2025-01-22,594.75,6660.039999999997,606.0,280.88100000000003,608.5,6313.285000000005,620.25,287.485875,0.9774034511092852,1.0549246549141995,0.9770253929866988,0.977025392986699
115624874.0,2025-01-22,503.5,6560.345000000012,503.5,224.30925,555.0,7262.795000000005,555.0,247.2525,0.9072072072072072,0.9032810371213849,0.9072072072072072,0.9072072072072072
115667134.0,2025-01-22,499.5,4261.785,504.75,211.237875,456.25,3628.1,462.5,193.55625,1.0947945205479452,1.1746602905101844,1.0913513513513513,1.0913513513513513
115717244.0,2025-01-22,545.125,3359.8250000000007,559.0,284.2515,477.25,2718.9099999999994,481.0,244.5885,1.142221058145626,1.2357249780242825,1.162162162162162,1.1621621621621625
115749890.0,2025-01-22,520.75,5137.810000000004,529.75,245.539125,558.0,4891.365000000008,561.25,260.13937500000003,0.9332437275985664,1.0503836863533995,0.9438752783964364,0.9438752783964364
115759684.0,2025-01-22,521.875,7618.385000000002,541.25,250.869375,490.0,7801.590000000003,502.0,232.677,1.0650510204081634,0.9765169664132568,1.078187250996016,1.078187250996016
115772922.0,2025-01-22,517.0,7758.860000000006,517.0,197.7525,504.75,7458.134999999999,504.75,193.066875,1.0242694403169883,1.0403217426340508,1.0242694403169883,1.0242694403169883
115830800.0,2025-01-22,530.625,6870.939999999997,560.25,234.464625,415.125,5453.945,430.0,179.95499999999998,1.2782294489611563,1.2598110175295123,1.302906976744186,1.3029069767441863
