Feature,Importance
ForceSymmetry,0.5342950436469993
ImpulseSymmetry,0.13469827696022857
rightMaxForce,0.052076195064438335
leftMaxForce,0.05112004336537258
leftTorque,0.043020133200093805
rightTorque,0.04296048039425541
leftAvgForce,0.041323882048881266
rightAvgForce,0.03792296953654179
rightImpulse,0.032933382054208225
leftImpulse,0.029649593728980662
