sport,injury_risk_rate,count
tennis,51.42857142857142,35
womes lax,51.28205128205128,429
womens basketball,48.34710743801653,242
softball,45.744680851063826,94
mens lax,44.651162790697676,215
combined,41.80790960451977,3186
football,41.76954732510288,972
mens basketball,38.88888888888889,144
womens soccer,37.0253164556962,316
mens soccer,35.82554517133956,321
track and field,35.63218390804598,87
baseball,34.63414634146341,205
womens volleyball,33.87096774193548,124
