,Medium Risk Mean,Medium Risk Std Dev,High Risk Mean,High Risk Std Dev,Medium Risk Count,High Risk Count
ForceSymmetry,1.1248712178900262,0.1741804524970068,1.3259281668519989,0.024099315934720957,157.0,55.0
MaxForceSymmetry,1.1192841935976865,0.16592728441580115,1.3216518582192947,0.03357539736603307,168.0,62.0
TorqueSymmetry,1.1288893473059927,0.1741516906174285,1.3310771386292441,0.02802492549928415,153.0,52.0
