,Feature,Importance,Std
0,ForceSymmetry,0.3537634550987466,0.24202650835730968
1,MaxForceSymmetry,0.335479304441033,0.2547421556759524
2,TorqueSymmetry,0.3107572404602204,0.2522080172614365
