,ForceSymmetry,ImpulseSymmetry,MaxForceSymmetry,TorqueSymmetry
ForceSymmetry,1.0,0.7838046689814598,0.9615521862810117,0.9615521862810116
ImpulseSymmetry,0.7838046689814598,1.0,0.7448158677666987,0.7448158677666986
MaxForceSymmetry,0.9615521862810117,0.7448158677666987,1.0,1.0000000000000002
TorqueSymmetry,0.9615521862810116,0.7448158677666986,1.0000000000000002,1.0
