Feature,Importance
ForceSymmetry,0.4143958588585361
ImpulseSymmetry,0.1832780091348945
rightMaxForce,0.07351961538074739
leftTorque,0.05346871176455328
rightTorque,0.051531480173747875
leftImpulse,0.05060500586022553
leftAvgForce,0.04820099799630173
rightAvgForce,0.045482683941582315
rightImpulse,0.0415227708146595
leftMaxForce,0.03799486607475181
