,Feature,Importance,Std
1,MaxForceSymmetry,0.3565437190171083,0.24797534307599373
0,ForceSymmetry,0.3374024936533593,0.21139490848779452
2,TorqueSymmetry,0.3060537873295324,0.2226007282693092
