,Feature,Importance,Std
1,MaxForceSymmetry,0.3657651863566284,0.24982616145440487
0,ForceSymmetry,0.33309151428637507,0.21216580095989654
2,TorqueSymmetry,0.3011432993569965,0.22532950278811636
